,dataset,instancias,minimo,maximo,media,desviacion,normalidad,estacionariedad,independencia,heterocedasticidad,tendencia,convexidad,alfa
1,D01,25,38,100,62.64,14.35,1,1,1,0,0,1,0.329
2,D02,30,825,946,873.57,38.4,0,1,0,0,1,1,0.694
3,D03,36,119.3,682,312.6,148.94,0,0,0,0,1,1,0.417
4,D04,60,129.41,616.45,300.87,89.6,0,0,1,0,0,1,0.383
5,D05,61,2.1,5.4,3.46,1.05,0,1,0,0,1,1,0.839
6,D06,139,373,724,534.99,73.13,1,0,0,0,1,1,0.429
7,D07,222,10,2000,268.7,187.8,0,1,0,0,0,1,0.366
8,D08,248,13196,408583,92675.02,50541.61,0,1,0,0,1,1,0.385
9,D09,476,64.8,217.8,136.4,33.74,0,0,0,1,1,0,0.678
10,D10,630,1.01,9931,931.58,1942.85,0,1,0,1,1,1,0.432
11,D11,1000,5743,402201,53100.5,35329.83,0,1,0,1,1,1,0.356
12,D12,2072,0,106920,13741.03,11487.03,0,0,0,1,1,0,0.77
13,D13,3009,1.65,8069.85,2602.86,1913.07,0,1,0,1,0,1,0.535
14,D14,3322,242000000000,8160000000000000,107000000000000,263000000000000,0,0,0,1,1,1,0.519
15,D15,2745,4.7,51.7,20.64,6.88,0,1,0,1,1,1,0.377
16,D16,10468,0,7421640800,330848870,338841843,0,0,0,1,1,1,0.418
17,D17,25101,0.04,22.36,4.6,3.63,0,0,0,1,1,1,0.665
18,D18,142524,20000,1262819994,12347275,30654858,0,0,0,1,1,1,0.474
19,D19,155119,0,5413,77.31,237.1,0,1,0,1,1,1,0.497
20,D20,197161,6,2000,94.16,82.38,0,0,0,1,1,0,0.201
